"Contact_Name","Status","Class_Name","Amount","Paid","Course_Name","StudyAgreement","askTeacher","NumOfMiss","Deal_Name","Discount_Reason","Discount_Reason2","interest","hybrid"
"0CE3A2BC-D649-EB11-974B-00505697537D",861650002,"9D0DF772-5B09-EB11-B993-00505697537D",970,969,"497F1D30-60F9-E811-AD77-00505697537D",False,"","","468B1DBF-7F90-EB11-80F0-00505697537D","","",dda7219a-a686-e011-942d-005056bd3748,
"423A1A18-8190-EB11-80F0-00505697537D",861650002,FF952434-5009-EB11-B993-00505697537D,7970,7970,C97E3976-60F9-E811-AD77-00505697537D,False,"","",A86D121E-8190-EB11-80F0-00505697537D,"","",dda7219a-a686-e011-942d-005056bd3748,
A284C742-554F-EB11-974B-00505697537D,861650000,"15A361B9-5B09-EB11-B993-00505697537D",970,0,F2950A89-DAF0-EA11-B993-00505697537D,False,"","","9969DC78-8190-EB11-80F0-00505697537D",קורס חוזר קורונה,"",dda7219a-a686-e011-942d-005056bd3748,
"13785246-BAC1-EA11-81AC-00505697537D",,C88C3C40-5309-EB11-B993-00505697537D,2970,,EDFB06E0-5EF9-E811-AD77-00505697537D,False,"","","76B6CB26-8290-EB11-80F0-00505697537D","","",dda7219a-a686-e011-942d-005056bd3748,
C8C72A17-BCA8-EA11-A8DD-00505697537D,861650002,DC5B1DF3-8676-EB11-A4F8-00505697537D,970,969,"497CD67B-5EF9-E811-AD77-00505697537D",False,"","",BEE3972A-8490-EB11-80F0-00505697537D,"","",dda7219a-a686-e011-942d-005056bd3748,
"69B6CB26-8290-EB11-80F0-00505697537D",861650002,"776BE6B8-F865-EB11-B424-00505697537D",7970,7970,A9180532-5FF9-E811-AD77-00505697537D,False,"","","6DB6CB26-8290-EB11-80F0-00505697537D","","",dda7219a-a686-e011-942d-005056bd3748,
"3D71F7DD-3F71-EB11-A4F8-00505697537D",861650002,EFBF3287-5B09-EB11-B993-00505697537D,7970,7970,F2950A89-DAF0-EA11-B993-00505697537D,False,"","","4700DC55-4071-EB11-A4F8-00505697537D","","",dda7219a-a686-e011-942d-005056bd3748,
"694C0ECD-8590-EB11-80F0-00505697537D",861650002,"440E967D-0EFC-EA11-B993-00505697537D",370,370,"43A5CE32-B19D-EA11-AC48-00505697537D",False,"","",ADA02ADA-8590-EB11-80F0-00505697537D,"","","35a1b88f-a686-e011-942d-005056bd3748",
"694C0ECD-8590-EB11-80F0-00505697537D",861650000,"4CDA48C2-F7FB-EA11-B993-00505697537D",7290,0,A3774BC2-0A95-EA11-AC48-00505697537D,False,"","",ADA02ADA-8590-EB11-80F0-00505697537D,"","","35a1b88f-a686-e011-942d-005056bd3748",
AEF6A196-8590-EB11-80F0-00505697537D,861650002,B5B75AAA-394F-EB11-974B-00505697537D,7970,7970,AB395C21-61F9-E811-AD77-00505697537D,False,"","",C0F6A196-8590-EB11-80F0-00505697537D,"","","",
"31A78180-8790-EB11-80F0-00505697537D",861650000,"",0,239,E81E6D1C-5DF9-E811-AD77-00505697537D,False,"","",B4683F92-8790-EB11-80F0-00505697537D,"","","",
"37DB0E59-FD02-EB11-B993-00505697537D",861650000,"8ED04B7C-3C4F-EB11-974B-00505697537D",7970,0,"889DB952-61F9-E811-AD77-00505697537D",False,"","","35469721-8890-EB11-80F0-00505697537D","","",dda7219a-a686-e011-942d-005056bd3748,
"11A0472B-8890-EB11-80F0-00505697537D",861650002,A9B9F5F6-3C4F-EB11-974B-00505697537D,7970,7970,"1455983C-61F9-E811-AD77-00505697537D",False,"","","15A0472B-8890-EB11-80F0-00505697537D","","","",
"9F618E50-AF75-EB11-A4F8-00505697537D",861650002,"6720D6C6-F98A-EB11-A4F8-00505697537D",740,740,C383E3B2-8A53-EB11-974B-00505697537D,False,"","",F5520D19-797A-EB11-A4F8-00505697537D,"","",dda7219a-a686-e011-942d-005056bd3748,
DC06A2EC-D08C-EB11-A4F8-00505697537D,861650001,"6CE9B795-5909-EB11-B993-00505697537D",0,,"68875757-5EF9-E811-AD77-00505697537D",False,"","",E006A2EC-D08C-EB11-A4F8-00505697537D,"","","",
"9C6D2135-0266-EB11-B424-00505697537D",861650002,"4CDA48C2-F7FB-EA11-B993-00505697537D",7290,7290,A3774BC2-0A95-EA11-AC48-00505697537D,False,"","",A06D2135-0266-EB11-B424-00505697537D,"","","35a1b88f-a686-e011-942d-005056bd3748",
"9C6D2135-0266-EB11-B424-00505697537D",861650002,"440E967D-0EFC-EA11-B993-00505697537D",370,370,"43A5CE32-B19D-EA11-AC48-00505697537D",False,"","",A06D2135-0266-EB11-B424-00505697537D,"","","35a1b88f-a686-e011-942d-005056bd3748",
"1E7E5EBB-8E90-EB11-80F0-00505697537D",861650002,CFAD5ACE-CC45-EB11-974B-00505697537D,7970,7970,A9180532-5FF9-E811-AD77-00505697537D,False,"","","237E5EBB-8E90-EB11-80F0-00505697537D","","",dda7219a-a686-e011-942d-005056bd3748,
